id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
568;Morón;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;46
056;Leales;90;Tucumán;2024;Dengue;12;Mayores de 65 años;12;15
015;Concordia;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;15;33
126;San Alberto;14;Córdoba;2024;Dengue;10;De 35 a 44 años;12;12
098;Tafí del Valle;90;Tucumán;2024;Dengue;9;De 25 a 34 años;16;4
077;Rawson;70;San Juan;2024;Dengue;11;De 45 a 65 años;16;26
007;Burruyacú;90;Tucumán;2024;Dengue;7;De 15 a 19 años;13;19
515;Malvinas Argentinas;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;6;7
042;Pilagás;34;Formosa;2024;Dengue;11;De 45 a 65 años;11;6
070;Las Colonias;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;10;21
274;Florencio Varela;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;12;66
056;Iriondo;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;17;5
014;Capital;46;La Rioja;2024;Dengue;5;De 5 a 9 años;12;73
070;Minas;14;Córdoba;2024;Dengue;8;De 20 a 24 años;14;2
658;Quilmes;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;17
252;Escobar;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;10;15
021;Capital;42;La Pampa;2024;Dengue;11;De 45 a 65 años;11;4
063;Marcos Juárez;14;Córdoba;2024;Dengue;12;Mayores de 65 años;7;1
168;Santo Tomé;18;Corrientes;2024;Dengue;10;De 35 a 44 años;17;12
014;Cruz Alta;90;Tucumán;2024;Dengue;10;De 35 a 44 años;13;67
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;14;24
182;Unión;14;Córdoba;2024;Dengue;5;De 5 a 9 años;11;9
028;Guaymallén;50;Mendoza;2024;Dengue;6;De 10 a 14 años;11;14
035;Banda;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;10;23
161;Tercero Arriba;14;Córdoba;2024;Dengue;4;De 2 a 4 años;12;12
